serviceCode,serviceCodeCategoryID,serviceCodeCategory,serviceName,BusinessUnitCategory
104-158,104,CARDIOLOGY,IVC FILTER RETRIEVAL (REMOVAL),
104-10713,104,CARDIOLOGY,TMT AT RS 500 AS APPLICABLE,
104-10714,104,CARDIOLOGY,PRIMARY PTCA CHARGES,
102-100,102,CASUALITY AND EMERGENGY,CASUALTY CHARGES,
102-111,102,CASUALITY AND EMERGENGY,CASUALTY CHARGES WITH INJECTION,
109-114,109,PHYSIOTHERAPY,PHYSIOTHERAPY,
109-149,109,PHYSIOTHERAPY,Physiotherapy consultation & Treatment,
109-150,109,PHYSIOTHERAPY,Physiotherapy Review,
109-151,109,PHYSIOTHERAPY,Physiotherapy Major,
109-152,109,PHYSIOTHERAPY,Physiotherapy Minor,
109-153,109,PHYSIOTHERAPY,SWD,
109-154,109,PHYSIOTHERAPY,TENS,
109-155,109,PHYSIOTHERAPY,UST,
109-156,109,PHYSIOTHERAPY,IFT,
109-157,109,PHYSIOTHERAPY,WAX BATH,
109-158,109,PHYSIOTHERAPY,C.Traction & L.Traction,
109-159,109,PHYSIOTHERAPY,Electrical Stimulation,
109-160,109,PHYSIOTHERAPY,COMBO Physiotherapy(Exercise + Electrotherapy),
109-161,109,PHYSIOTHERAPY,Physiotherapy Evaluations,
109-162,109,PHYSIOTHERAPY,Physiotherapy Evaluations & Exercise Therapy,
109-163,109,PHYSIOTHERAPY,Muscle Chartings,
109-164,109,PHYSIOTHERAPY,Exercise Therapy Major,
109-165,109,PHYSIOTHERAPY,Exercise Therapy Minor,
109-166,109,PHYSIOTHERAPY,CPM,
109-167,109,PHYSIOTHERAPY,Cerebral palsy & MR Evaluations & Exercise Therapy,
109-168,109,PHYSIOTHERAPY,Exercise therapy for cerebral palsy & MR,
109-169,109,PHYSIOTHERAPY,"ACLR,PCLR,MCLR,LCLR Rehabilitation",
109-170,109,PHYSIOTHERAPY,"ACLR,PCLR,MCLR,LCLR Rehabilitation (Review)",
109-171,109,PHYSIOTHERAPY,Shoulder Rehabilitation,
109-172,109,PHYSIOTHERAPY,Shoulder Rehabilitation (Review),
109-173,109,PHYSIOTHERAPY,All ICU (Major) Per Visit,
109-174,109,PHYSIOTHERAPY,All ICU (Minor) Per Visit,
109-175,109,PHYSIOTHERAPY,Deluxe/Single Room Per visit,
109-176,109,PHYSIOTHERAPY,Sharing Ward Per visit,
109-177,109,PHYSIOTHERAPY,General Ward Per Visit,
109-178,109,PHYSIOTHERAPY,CT ICU (Per Day),
109-179,109,PHYSIOTHERAPY,Physiotherapy consultation & Sessions,
109-180,109,PHYSIOTHERAPY,Physiotherapy 5 session package,
109-181,109,PHYSIOTHERAPY,Physiotherapy 8 session package,
109-182,109,PHYSIOTHERAPY,Physiotherapy 10 session package,
103-1,103,NEPHROLOGY,DIALYSIS REGULAR,
103-2,103,NEPHROLOGY,DIALYSIS EMERGENCY / ACUTE,
103-102,103,NEPHROLOGY,DIALYSIS - PAEDIATRIC,
103-103,103,NEPHROLOGY,CAPD CATHERISATION,
103-104,103,NEPHROLOGY,AV FISTULA,
103-105,103,NEPHROLOGY,DIALYSIS - SLED,
103-106,103,NEPHROLOGY,CONTINUOUS RENAL REPLACEMENT THERAPY ( CRRT ),
103-107,103,NEPHROLOGY,RENAL BIOPSY PROCEDURE,
103-108,103,NEPHROLOGY,RENAL NUTRITION BOOKLET,
103-109,103,NEPHROLOGY,STENT REMOVAL UNDER GA,
103-110,103,NEPHROLOGY,STENT REMOVAL UNDER LA,
103-111,103,NEPHROLOGY,DIALYSIS -ONLINE HDF,
103-112,103,NEPHROLOGY,CAPD  TRAINING,
103-113,103,NEPHROLOGY,CATHETERISATION ( JUGULAR / FEMORAL ),
103-114,103,NEPHROLOGY,NEPHRO PACK A,
103-115,103,NEPHROLOGY,NEPHRO PACK B,
103-116,103,NEPHROLOGY,NEPHRO PACK C,
103-117,103,NEPHROLOGY,PLASMA PHERESIS,
103-118,103,NEPHROLOGY,HAEMODIALYSIS EMERGENCY,
103-119,103,NEPHROLOGY,HAEMODIALYSIS NON-REUSE,
103-120,103,NEPHROLOGY,FEMORAL ACCESS FOR DIALYSIS WITH TWO CATHETER,
103-121,103,NEPHROLOGY,C.A.P.D SERVICE CHARGES,
103-122,103,NEPHROLOGY,C.A.P.D CATHETER IMPLANTATION SURGERY CHARGES,
103-123,103,NEPHROLOGY,C.A.P.D CATHETER REMOVAL CHARGES,
103-124,103,NEPHROLOGY,A.V.FISTULA CONSTRUCTION SURGERY CHARGES,
103-125,103,NEPHROLOGY,A.V.FISTULA CLOSURE SURGERY CHARGES,
103-126,103,NEPHROLOGY,RENAL BIOPSY,
103-127,103,NEPHROLOGY,CAVD(CONTINUOUS ARTERIO VENUS DIALYSIS,
103-128,103,NEPHROLOGY,DIALYSIS FEMORAL GATHER BILATERAL,
103-129,103,NEPHROLOGY,DOUBLE LUMEN SUB CLAVIAN CATHETER,
103-130,103,NEPHROLOGY,EMERGENCY DIALYSIS,
103-131,103,NEPHROLOGY,FEMORAL ACCESS,
103-132,103,NEPHROLOGY,FEMORAL PUNCTURE,
103-133,103,NEPHROLOGY,HAEMO DIALYSIS,
103-134,103,NEPHROLOGY,PERITONEAL DIALYSIS,
103-135,103,NEPHROLOGY,PLASMA EXCHANGE,
103-136,103,NEPHROLOGY,SUBCLAVIAN ACCESS,
103-137,103,NEPHROLOGY,SUBCLAVIAN PUNCTURE,
103-148,103,NEPHROLOGY,DIALYSIS POSITIVE CGHS,
103-149,103,NEPHROLOGY,DIALYSIS NEGATIVE CGHS,
103-150,103,NEPHROLOGY,PERMACATH  INSERTION,
103-151,103,NEPHROLOGY,DTPA RENAL SANITOGRAPHY,
112-1,112,NEUROLOGY,BOTOX INJECTION WITHOUT EMG & WITHOUT INJECTION COST,
112-2,112,NEUROLOGY,BOTOX INJECTION WITH EMG & WITHOUT INJECTION COST,
112-4,112,NEUROLOGY,EEG 30 MINUTES,
112-5,112,NEUROLOGY,EEG 60 MINUTES,
112-6,112,NEUROLOGY,EMG ( 9 PM TO 6 AM),
112-7,112,NEUROLOGY,EMG  2 LIMBS,
112-8,112,NEUROLOGY,EMG  4 LIMBS,
112-9,112,NEUROLOGY,VIDEO EEG 0 TO 12 HOURS,
112-10,112,NEUROLOGY,VIDEO EEG 12 HOURS TO 24 HOURS,
112-11,112,NEUROLOGY,VIDEO EEG 24 HOURS TO 48 HOURS,
112-12,112,NEUROLOGY,VIDEO EEG 3 DAYS,
112-111,112,NEUROLOGY,ENMG,
112-112,112,NEUROLOGY,NCS,
112-113,112,NEUROLOGY,BEDSIDE EEG,
112-114,112,NEUROLOGY,BEDSIDE NCS,
112-115,112,NEUROLOGY,FACIAL CONDUCTION,
112-116,112,NEUROLOGY,RNS,
112-117,112,NEUROLOGY,SEP,
112-128,112,NEUROLOGY,NCS 4 LIMBS,
_ROOMTAX,114,TAX,ROOMTAX,
115-1,115,HEALTH CHECKUP,KIDNEY CHECK,
115-10,115,HEALTH CHECKUP,GASTRO CHECK,
115-2,115,HEALTH CHECKUP,LIVER CHECK,
115-24,115,HEALTH CHECKUP,SINGARENI EXECUTIVE HEALTH CHECK UP,
115-3,115,HEALTH CHECKUP,MASTER HEALTH CHECK UP,
115-4,115,HEALTH CHECKUP,COMPREHENSIVE HEART CHECK UP,
115-5,115,HEALTH CHECKUP,EXECUTIVE HEALTH CHECKUP,
115-6,115,HEALTH CHECKUP,PRIMARY HEART CHECK UP,
115-7,115,HEALTH CHECKUP,GYNAEC CHECK-UP,
115-8,115,HEALTH CHECKUP,LUNG CHECK-UP,
115-9,115,HEALTH CHECKUP,TB CHECK-UP,
115-124,115,HEALTH CHECKUP,PRE EMPLOYMENT HEALTH CHECKUP,
_00bio07912,115,HEALTH CHECKUP,BPH CHECK,
115-30,115,HEALTH CHECKUP,CORPORATES/CANARA BANK ANNUAL HEALTH CHECKUP(SINGLE),
115-31,115,HEALTH CHECKUP,CORPORATES/CANARA BANK ANNUAL HEALTH CHECKUP(DOUBLE),
115-127,115,HEALTH CHECKUP,Cancer Check on World Cancer Day,
115-128,115,HEALTH CHECKUP,ANNUAL HEALTH CHECK UP WITHOUT TMT(MOTHER DIARY INDIA LTD),
115-129,115,HEALTH CHECKUP,ANNUAL HEALTH CHECK UP WITH TMT(MOTHER DIARY INDIA LTD),
115-130,115,HEALTH CHECKUP,ADITYA BIRLA PRE EMPLOYMENT HEALTH CHECK UP,
115-131,115,HEALTH CHECKUP,BASIC HEALTH PACKAGE,
115-132,115,HEALTH CHECKUP,ESSENTIAL HEART CHECK UP,
115-133,115,HEALTH CHECKUP,FOOD HANDLERS HEALTH CHECK FOR DHL-RFC EMPLOYEES,
115-135,115,HEALTH CHECKUP,PROSTATE SCREENING CAMP,
115-136,115,HEALTH CHECKUP,ESSENTIAL HEART CHECK UP FOR BDL,
115-137,115,HEALTH CHECKUP,HEART CHECK-IN HOUSE CAMP,
115-138,115,HEALTH CHECKUP,CORPORATE BASIC HEALTH CHECK PACKAGE,
115-139,115,HEALTH CHECKUP,HEPATITIS CHECK,
115-140,115,HEALTH CHECKUP,FREE HEALTH CHECKUP FOR POLICE,
115-141,115,HEALTH CHECKUP,DIABETIC CHECKUP FOR ONE WEEK,
115-142,115,HEALTH CHECKUP,VASCULAR PROFILE,
115-143,115,HEALTH CHECKUP,GAIL HEALTH CHECKUP,
115-144,115,HEALTH CHECKUP,MY GLOBAL ESSENTIAL HEART CHECK,
115-145,115,HEALTH CHECKUP,BASIC GASTRO CHECKUP,
115-146,115,HEALTH CHECKUP,ADVANCED GASTRO CHECKUP,
115-147,115,HEALTH CHECKUP,MY GLOBAL LUNG HEALTH CHECK,
115-148,115,HEALTH CHECKUP,KNEE CHECK CLINIC,
115-149,115,HEALTH CHECKUP,MYGLOBAL KIDNEY CHECKUP,
115-150,115,HEALTH CHECKUP,KIDNEY STONE CLINIC,
115-151,115,HEALTH CHECKUP,HERNIA CHECK UP,
115-152,115,HEALTH CHECKUP,SPINE CHECK UP,
115-154,115,HEALTH CHECKUP,LIVER CHECK,
115-155,115,HEALTH CHECKUP,ASTHMA CHECK,
115-156,115,HEALTH CHECKUP,PROSTATE CHECK,
115-157,115,HEALTH CHECKUP,MYGLOBAL OBESITY CHECK,
115-158,115,HEALTH CHECKUP,MYGLOBAL DENTAL CHECK,
115-159,115,HEALTH CHECKUP,HEPATITIS DAY PACKAGE,
115-160,115,HEALTH CHECKUP,CHERALA BIO SCIENCES CHECKUP,
115-171,115,HEALTH CHECKUP,KAKATIYA CEMENTS PACKAGE - I,
115-172,115,HEALTH CHECKUP,KAKATIYA CEMENTS PACKAGE - II,
115-173,115,HEALTH CHECKUP,BRAIN STROKE PACKAGE,
115-174,115,HEALTH CHECKUP,HPCL HEALTH CHECKUP(ALL AGE GROUP),
115-175,115,HEALTH CHECKUP,HPCL HEALTH CHECKUP(FOR 40YRS ABOVE),
115-176,115,HEALTH CHECKUP,HPCL HEALTH CHECKUP(FOR 51YRS ABOVE),
115-177,115,HEALTH CHECKUP,ANNUAL HEALTH CHECKUP FOR  AGH EMPLOYEES,
115-178,115,HEALTH CHECKUP,CONGENITAL HEART DISEASE SCREENING PACKAGE,
115-179,115,HEALTH CHECKUP,HEART SCREENING PACKAGE,
115-180,115,HEALTH CHECKUP,Asthma Health Checkup Package,
115-181,115,HEALTH CHECKUP,BRAIN STROKE CLINIC,
115-182,115,HEALTH CHECKUP,HEART CHECKUP,
115-183,115,HEALTH CHECKUP,KIDNEY CHECKUP,
115-184,115,HEALTH CHECKUP,ASTHMA CHECKUP,
115-185,115,HEALTH CHECKUP,DIABETIC CHECKUP,
115-186,115,HEALTH CHECKUP,GASTRO CHECKUP,
115-187,115,HEALTH CHECKUP,KAKATIYA UNIVERSITY HEART CHECK  PACKAGE,
115-188,115,HEALTH CHECKUP,HDFC ERGO HEALTH CHECKUP,
115-189,115,HEALTH CHECKUP,DENTAL CHECKUP,
115-190,115,HEALTH CHECKUP,Master Health Checkup Adilabad Police,
115-191,115,HEALTH CHECKUP,EXECUTIVE HEALTH CHECK FOR RR DIST EXCISE DEPT,
115-192,115,HEALTH CHECKUP,EPILEPSY CLINIC,
115-193,115,HEALTH CHECKUP,HEADACHE CLINIC,
115-194,115,HEALTH CHECKUP,RELIANCE GENERAL INSURANCE COMPLIMENTARY,
115-194,115,HEALTH CHECKUP,RELIANCE GENERAL INSURANCE COMPLIMENTARY,
115-197,115,HEALTH CHECKUP,MEEHRUDAYAM KOSAM,
115-198,115,HEALTH CHECKUP,NAARM,
115-199,115,HEALTH CHECKUP,Free Health Camp Hernia Piles Fistula,
115-200,115,HEALTH CHECKUP,WELL WOMAN CHECK UP,
115-201,115,HEALTH CHECKUP,SENIOR CITIZEN HEALTH CHECK UP,
115-202,115,HEALTH CHECKUP,My DIABETIC CHECK UP,
115-203,115,HEALTH CHECKUP,My GASTRO CHECK UP,
115-204,115,HEALTH CHECKUP,My KIDNEY CHECK UP,
115-205,115,HEALTH CHECKUP,My COMPREHENSIVE HEART CHECK UP,
115-206,115,HEALTH CHECKUP,12TH BATTALION MASTER HEALTH CHECKUP,
115-207,115,HEALTH CHECKUP,12TH BATTALION MASTER HEALTH CHECKUP SPOUSE,
115-208,115,HEALTH CHECKUP,My MASTER HEALTH CHECK UP,
115-209,115,HEALTH CHECKUP,NISUM HEALTH CHECK UP,
115-210,115,HEALTH CHECKUP,FREE HEALTH CAMP FOR NECK AND BACK PAIN,
115-212,115,HEALTH CHECKUP,HEALTHY WOMEN CHECK-UP,
115-213,115,HEALTH CHECKUP,KMS SECURITY STAFF HEALTH CHECK-UP,
115-214,115,HEALTH CHECKUP,MASTER HEALTH CHECKUP POLICE PERSONNEL,
115-215,115,HEALTH CHECKUP,HEALTH CHECK-UP FOR LIC EMPLOYEES (CAT-2),
115-218,115,HEALTH CHECKUP,DIABETIC CHECK-UP (1-13),
115-216,115,HEALTH CHECKUP,HEALTH CHECK-UP FOR LIC EMPLOYEES (CAT-1),
115-217,115,HEALTH CHECKUP,HEALTH CHECK-UP FOR LIC EMPLOYEES (CAT-3),
115-219,115,HEALTH CHECKUP,HEPATITIS VIRAL SCREENING PACKAGE,
115-220,115,HEALTH CHECKUP,HEPATITIS B VACCINATION (3DOSES),
115-221,115,HEALTH CHECKUP,MY GLOBAL DENTAL CHECKUP,
115-222,115,HEALTH CHECKUP,MEE HRUDAYAM KOSAM,
115-223,115,HEALTH CHECKUP,HEART CHECK-UP,
115-224,115,HEALTH CHECKUP,NEW BORN-VACCINATION,
115-225,115,HEALTH CHECKUP,WHD Package For Teachers,
115-226,115,HEALTH CHECKUP,MY GLOBAL DIABETES CHECK-UP,
115-227,115,HEALTH CHECKUP,DIABETIC CLINIC,
115-228,115,HEALTH CHECKUP,ESSENTIAL KIDNEY CHECK-UP,
115-229,115,HEALTH CHECKUP,MY GLOBAL HEART CHECK-UP(6thTO31stJAN),
115-230,115,HEALTH CHECKUP,GAETEC HEALTH CHECK UP,
115-231,115,HEALTH CHECKUP,CGHS HEALTH CHECK UP FOR MEN,
115-232,115,HEALTH CHECKUP,CGHS HEALTH CHECK UP FOR WOMEN,
115-233,115,HEALTH CHECKUP,UROLOGY CHECK,
115-236,115,HEALTH CHECKUP,BASIC PREVENTIVE HEALTH PACKAGE,
115-237,115,HEALTH CHECKUP,SPECIAL HEALTH CHECK-UP FOR CHANDANA BROS,
115-238,115,HEALTH CHECKUP,KMS -annual health check up,
115-239,115,HEALTH CHECKUP,AGH-FOOD HANDLERS HEALTH CHECKUP,
115-240,115,HEALTH CHECKUP,SENIOR CITIZEN KIDNEY CHECK,
115-241,115,HEALTH CHECKUP,SENIOR CITIZEN HEART CHECK,
115-242,115,HEALTH CHECKUP,SENIOR CITIZEN DIABETES CHECK,
115-243,115,HEALTH CHECKUP,MEDICAL CAMP FOR FREEMASONS PACK-1,
115-244,115,HEALTH CHECKUP,MEDICAL CAMP FOR FREEMASONS PACK-2,
115-245,115,HEALTH CHECKUP,Senior Citizen Master Health Check,
115-246,115,HEALTH CHECKUP,Senior Citizen Heart Check,
115-247,115,HEALTH CHECKUP,Senior Citizen Kidney Check,
115-248,115,HEALTH CHECKUP,Senior Citizen Diabetes Check,
115-249,115,HEALTH CHECKUP,1947 HEALTH CHECK-UP,
115-250,115,HEALTH CHECKUP,HEALTHY HEART CHECK,
115-251,115,HEALTH CHECKUP,GLOBAL DIABETES CHECK-UP,
115-252,115,HEALTH CHECKUP,COPD/ ASTHMA PACKAGE,
115-254,115,HEALTH CHECKUP,My MASTER HEALTH CHECK UP(INTL),
115-255,115,HEALTH CHECKUP,GLOBAL INTERNATIONAL HEALTH CHECK-UP,
115-256,115,HEALTH CHECKUP,UROLOGY CHECK-UP (SPL PACK),
115-257,115,HEALTH CHECKUP,FASTING STONE PROFILE (UROLOGY),
115-281,115,HEALTH CHECKUP,World Heart Day Heart Package,
115-258,115,HEALTH CHECKUP,WKD-Walkathon,
115-259,115,HEALTH CHECKUP,WKD-Direct,
115-260,115,HEALTH CHECKUP,GLOBAL DENTAL CHECK-UP,
115-280,115,HEALTH CHECKUP,World Heart Day Heart Package for Corporate,
115-279,115,HEALTH CHECKUP,Urology & Nephrology Week Consultation,
115-262,115,HEALTH CHECKUP,SPECIAL HEART PACKAGE,
115-263,115,HEALTH CHECKUP,GLOBAL KNEE CHECK,
115-278,115,HEALTH CHECKUP,BRAIN AND SPINE WEEK CONSULTATION,
115-264,115,HEALTH CHECKUP,SPECIAL LIVER CHECKUP,
115-265,115,HEALTH CHECKUP,GallBladder Stone Package,
115-266,115,HEALTH CHECKUP,SPECIAL HERNIA PACKAGE,
115-267,115,HEALTH CHECKUP,Gall Stones Consultation Week,
115-268,115,HEALTH CHECKUP,Neurology Consultation Week,
115-269,115,HEALTH CHECKUP,Neuro & Spine Surgeon Consultation Week,
115-270,115,HEALTH CHECKUP,DAY CARE ANGIOGRAM PACKAGE,
115-271,115,HEALTH CHECKUP,SURGICAL GI WEEK,
115-272,115,HEALTH CHECKUP,MASTER HEALTH CHECK UP CENTRAL BANK OF INDIA,
115-273,115,HEALTH CHECKUP,Kidney Consultation Week,
115-274,115,HEALTH CHECKUP,Neurology and Neuro Surgery Week,
115-275,115,HEALTH CHECKUP,Gastro and Hepatology Consultation Week,
115-276,115,HEALTH CHECKUP, Hernia & Gallstone Consultation Week,
115-277,115,HEALTH CHECKUP,Orthopaedic Week Consultation,
115-282,115,HEALTH CHECKUP,Back Pain clinic Offer,
115-283,115,HEALTH CHECKUP,Prostrate clinic Offer,
115-284,115,HEALTH CHECKUP,Diabetes Check-up,
115-285,115,HEALTH CHECKUP,EMPLOYEE MASTER HEALTH CHECKUP(FEMALE ABOVE 35 YEARS),
115-286,115,HEALTH CHECKUP,EMPLYOYEE MASTER HEALTH CHECKUP(FEMALE BELOW 35 YEARS),
115-287,115,HEALTH CHECKUP,EMPLYOYEE MASTER HEALTH CHECKUP(MALE BELOW 35 YEARS),
115-288,115,HEALTH CHECKUP,EMPLYOYEE MASTER HEALTH CHECKUP(MALE ABOVE 35 YEARS),
115-289,115,HEALTH CHECKUP,HERNIA SCREENING @ 399,
115-290,115,HEALTH CHECKUP,CARDIAC REVIEW PACKAGE @ 999,
115-291,115,HEALTH CHECKUP,WELL WOMEN PACKAGE @299,
115-292,115,HEALTH CHECKUP,WELL BABY PACKAGE @299,
115-294,115,HEALTH CHECKUP,JOINT PAIN AND BACK ACHE CHECKUP @299,
115-295,115,HEALTH CHECKUP,HAPPY  HEALTH  CHECKUP,
115-296,115,HEALTH CHECKUP,Pre Ramadan Diabetic Package @ 599 ,
115-297,115,HEALTH CHECKUP,Ramadan Diabetic Package Free Review,
115-298,115,HEALTH CHECKUP,Post Ramadan Diabetic Package,
115-300,115,HEALTH CHECKUP,FEVER TEST PACKAGE @ 499,
115-302,115,HEALTH CHECKUP,PLATINUM HEALTH CHECKUP FOR MEN,
115-303,115,HEALTH CHECKUP,PLATINUM HEALTH CHECKUP FOR WOMEN,
115-304,115,HEALTH CHECKUP,V- GUARD CARDIAC PACKAGE ,
115-306,115,HEALTH CHECKUP,INDEPENDENCE DAY EXECUTIVE HEALTH CHECK UP ,
115-307,115,HEALTH CHECKUP,BPH PROFILE ,
115-308,115,HEALTH CHECKUP,RENAL STONE PROFILE,
115-309,115,HEALTH CHECKUP,Diabetes Check-up Package @ 499,
115-310,115,HEALTH CHECKUP,ECG PROMOTIONAL,
115-311,115,HEALTH CHECKUP,Varicose Veins Screening @ 888,
100004,101,CONSULTATION,DHARMESH KAPOOR( CONSULTATION ),
100004-R,101,CONSULTATION,DHARMESH KAPOOR( REVIEW CONSULTATION ),
100025,101,CONSULTATION,DEPARTMENT OF  NUTRITION & DIETETICS( CONSULTATION ),
100025-R,101,CONSULTATION,DEPARTMENT OF  NUTRITION & DIETETICS( REVIEW CONSULTATION ),
100049,101,CONSULTATION,MALAKONDAIAH( CONSULTATION ),
100049-R,101,CONSULTATION,MALAKONDAIAH( REVIEW CONSULTATION ),
100057,101,CONSULTATION,DR.VIDYA SAGAR(CONSULTATION),
100057-R,101,CONSULTATION,VIDYA SAGAR( REVIEW CONSULTATION ),
100067,101,CONSULTATION,RAVINDRANATH( CONSULTATION ),
100067-R,101,CONSULTATION,RAVINDRANATH( REVIEW CONSULTATION ),
100069,101,CONSULTATION,SRIDHAR( CONSULTATION ),
100069-R,101,CONSULTATION,SRIDHAR( REVIEW CONSULTATION ),
100104,101,CONSULTATION,SUDHIR PRASAD(CONSULTATION),
100105,101,CONSULTATION,Dr. JITHENDRAN N (CONSULTATION),
100155,101,CONSULTATION,DR.G.PRAMOD KUMAR(CONSULTATION),
100155-R,101,CONSULTATION,DR.G.PRAMOD KUMAR( REVIEW CONSULTATION ),
100105-R,101,CONSULTATION,Dr. JITHENDRAN N( REVIEW CONSULTATION),
100141,101,CONSULTATION,Dr.A.RAJESH( CONSULTATION ),
100141-R,101,CONSULTATION,Dr.A.RAJESH( REVIEW CONSULTATION ),
100249,101,CONSULTATION,DR.CHALLAMALLASURESH REDDY(CONSULTATION),
100249-R,101,CONSULTATION,DR.CHALLAMALLASURESH REDDY(REVIEW CONSULTATION),
100258,101,CONSULTATION,DR.ASURESH CHANDRA(CONSULTATION),
100258-R,101,CONSULTATION,DR.ASURESH CHANDRA(REVIEW CONSULTATION),
100261,101,CONSULTATION,DR.BVENKATESH(CONSULTATION),
100261-R,101,CONSULTATION,DR.BVENKATESH(REVIEW CONSULTATION),
101-160,101,CONSULTATION,CARDIOLOGIST CONSULTATION,
100270,101,CONSULTATION,DR.RAJA PRASAD . P(CONSULTATION),
100270-R,101,CONSULTATION,DR.RAJA PRASAD . P(REVIEW CONSULTATION),
101-161,101,CONSULTATION,EMERGENCY CONSULTATION,
101-162,101,CONSULTATION,CASUALITY CONSULTATIONS FEE (8PM TO 8AM),
100283,101,CONSULTATION,DR.YSANDEEP REDDY(CONSULTATION),
100283-R,101,CONSULTATION,DR.YSANDEEP REDDY(REVIEW CONSULTATION),
100284,101,CONSULTATION,DR.DR. G. C. MALAKONDAIAH(CONSULTATION),
100284-R,101,CONSULTATION,DR.DR. G. C. MALAKONDAIAH(REVIEW CONSULTATION),
100285,101,CONSULTATION,DR.G.CMALAKONDAIAH(CONSULTATION),
100285-R,101,CONSULTATION,DR.G.CMALAKONDAIAH(REVIEW CONSULTATION),
100286,101,CONSULTATION,DR..MALLINDRA SWAMY(CONSULTATION),
100286-R,101,CONSULTATION,DR..MALLINDRA SWAMY(REVIEW CONSULTATION),
100122,101,CONSULTATION,SRIRANG ABKARI(CONSULTATION),
100122-R,101,CONSULTATION,SRIRANG ABKARI( REVIEW CONSULTATION ),
100200,101,CONSULTATION,DR.NAGESHWAR K( CONSULTATION ),
100200-R,101,CONSULTATION,NAGESHWAR K ( REVIEW CONSULTATION ),
100121,101,CONSULTATION,RAVINDRA.N (CONSULTATION),
100121-R,101,CONSULTATION,RAVINDRA.N( REVIEW CONSULTATION ),
100123,101,CONSULTATION,RAJENDRA(CONSULTATION),
100123-R,101,CONSULTATION,RAJENDRA( REVIEW CONSULTATION ),
100118,101,CONSULTATION,Dr.VIVEKANANDA REDDY(CONSULTATION),
100118-R,101,CONSULTATION,Dr.VIVEKANANDA REDDY( REVIEW CONSULTATION ),
100104-R,101,CONSULTATION,Dr. SUDHIR PRASAD ( REVIEW CONSULTATION),
100288,101,CONSULTATION,DR.DR SRIDHAR / DR SANDEEP(CONSULTATION),
100288-R,101,CONSULTATION,DR.DR SRIDHAR / DR SANDEEP(REVIEW CONSULTATION),
100318,101,CONSULTATION,..MASTER HEALTH CHECKUP POLICE PERSONNEL(CONSULTATION),
100342,101,CONSULTATION,DR.PRADEEP PANIGRAHI (SURGEON LT. CDR)(CONSULTATION),
